id,idiom,definition,positive,negative,other
395,take the easy way out,"To choose the easiest way to deal with a difficult situation, even if it is not the best solution.",20,40,40
396,tar baby,A sticky situation or problem for which it is virtually impossible to find a solution.,0,100,0
397,teething problems,The difficulties encountered during the initial stage of an activity or project.,0,100,0
398,thorny issue,To deal with a difficult or unpleasant problem.,0,100,0
399,throw money at,"To try to solve a problem by spending money on it, without using any other methods.",0,20,80
400,throw it over the wall,"To deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination.",0,80,20
401,tide over,To support someone through a difficult period for a certain length of time.,60,0,40
402,tight spot,To be in a very difficult situation.,0,100,0
403,tip of the iceberg,The part that is known of a problem or situation which is thought to be much more serious.,0,80,20
404,trilemma,"A situation which is even more difficult than a dilemma, because a choice must be made between three options that seem equally undesirable.",0,100,0
405,twist in the wind,To be left to face a difficult situation without any assistance or support.,0,100,0
406,unmitigated disaster,A complete failure or a total catastrophe.,0,100,0
407,uphill battle,A struggle against very unfavourable circumstances.,0,100,0
408,vicious circle,"When the solution to a problem creates another problem similar to the original, or makes it worse, so that the process starts all over again.",0,100,0
409,wave a dead chicken,"When faced with a serious problem, if you take steps that you  know in advance will be futile, to show that you made an effort.",60,20,20
410,wheels fall off,When a situation gets out of control and everything starts to go wrong.,0,100,0
411,without a hitch,"When something takes place exactly as planned, without any difficulties.",100,0,0
412,work cut out for someone,If you have to face a difficult task or a challenging situation.,0,80,20
413,yoke around neck,"An obligation, commitment or restraint that becomes an oppressive burden.",0,100,0
414,batten down the hatches,"To prepare yourself for danger or a forthcoming difficult period, like a ship preparing for a storm.",40,20,40
415,calculated risk,A risk taken with full knowledge of the dangers involved.,40,0,60
416,throw caution to the wind,To start taking risks and stop worrying about the danger involved.,60,0,40
417,close shave,A situation where an accident or a disaster nearly happened.,20,40,40
418,coast is clear,There is no danger in sight or that nobody can see you.,60,0,40
419,cry wolf,To call for help when you are not really in danger.,0,60,40
420,dice with death,If you put your life at risk by doing something very dangerous.,0,100,0
421,dicey situation,Any situation that is potentially risky or dangerous.,0,100,0
422,false move,To do something which may have unpleasant consequences.,0,100,0
423,fraught with danger,An activity or situation that is fraught with danger is full of risks or serious difficulties.,0,80,20
424,by a hair's breadth,To only just manage escape from a danger.,40,0,60
425,hang on for dear life,To be in a dangerous situation and grip something firmly so as not to fall.,0,80,20
426,live to tell the tale,To survive a terrible experience.,60,20,20
427,look before you leap,This is something you say when advising someone to think carefully about the possible dangers before doing something.,20,20,60
428,no-go area,An area where it is dangerous to go.,0,80,20
429,out of harm's way,To put something in a safe place where it won't be damaged.,60,20,20
430,play with fire,People who take unnecessary risks or behave in a dangerous way.,0,80,20
431,put someone's head on the block,If you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong.,20,60,20
432,ride it out,"If you manage to survive a dangerous or very unpleasant situation, like a ship sailing through a storm.",80,0,20
433,risk life and limb,To be in danger of death or serious injury.,0,60,40
434,in safe hands,"When something is being looked after by a reliable person or organization, and is therefore at no risk.",100,0,0
435,on the safe side,"To do something as a precaution, to avoid any risks.",60,0,40
436,safety in numbers,When being part of a group makes people feel more secure and more confident when taking action.,80,0,20
437,sail close to the wind,To do something dangerous or act just within the limits of what is legal or acceptable.,0,40,60
438,save someone's neck,To manage to escape from serious danger or trouble.,80,0,20
439,at stake,"Someone who has a lot at stake is in a risky situation, with a lot to be won or lost.",0,60,40
440,take cover,"To hide from a danger, or bad weather, in a place where they find protection.",0,60,40
441,take life in someone's own hands,To take the risk of being killed.,60,0,40
442,watch someone's step,To advise someone to be careful how they behave in order to avoid danger.,0,40,60
443,wrapped up in cotton wool,To be over-protected from dangers and risks.,20,40,40
444,asleep at the wheel,"When someone is not sufficiently attentive, especially at a critical moment when vigilance is required.",0,80,20
445,cat nap,To have a short sleep during the day.,20,0,80
446,forty winks,"To have a short sleep or rest, generally during the day.",20,20,60
447,hit the hay,To go to bed.,20,0,80
448,hit the sack,To go to bed.,0,0,100
449,lie in,To stay in bed after the normal time for getting up.,20,0,80
450,out like a light,To be so tired that you fall asleep very quickly.,20,0,80
451,ready to drop,To be extremely tired and nearly too exhausted to stay standing.,0,80,20
452,sleep like a log,To sleep deeply or soundly.,60,0,40
453,sleep on it,To take time (until the next day) to think something over before making a decision.,20,20,60
454,not sleep a wink,To not sleep a all.,0,40,60
455,not lose any sleep,When something happens that in your opinion is not a cause for worry.,60,0,40
456,sleeping partner,"A person who invests in a business without taking an active part in its management, and whose association with the enterprise is not public knowledge.",0,0,100
457,ace a test,To obtain a very high score or an excellent result.,100,0,0
458,have an ace up someone's sleeve,To have something in reserve with which you can gain an advantage and obtain success.,100,0,0
459,hold all the aces,To be in a very strong position because they have more advantages than anyone else.,100,0,0
460,also-ran,An unsuccessful competitor whose performance is so much poorer than the winner's that it appears insignificant.,0,100,0
461,back to square one,"To not succeeded in what they were trying to do, so they have to start again.",0,100,0
462,in the bag,When it becomes obvious that success or victory is going to be achieved.,100,0,0
463,bear fruit,To produces positive or successful results.,100,0,0
464,up a blind alley,To follow an ineffective course of action which leads nowhere or produces no results.,0,80,20
465,blockbuster,"Something that is outstanding, impressive or particularly successful, such as a film or a book.",100,0,0
466,blow up in face,"When working on a plan or project, if it suddenly goes wrong or fails.",0,100,0
467,bottom fell out,"When something causes a plan, project or venture to collapse or fail.",0,100,0
468,bring the house down,To give a very successful performance.,100,0,0
469,cake not worth the candle,The advantages to be gained from doing something are not worth the effort involved.,0,80,20
470,chance your arm,To decide to do something even though there is little hope of success.,60,0,40
471,had your chips,When someone has completely failed in what they set out to achieve.,0,100,0
472,close but no cigar,An effort to do something which was a good attempt but not quite good enough to succeed.,0,40,60
473,come to grief,"When someone has either had an accident, are destroyed or end in failure.",0,100,0
474,come up in the world,A person who is richer than before and has a higher social status.,100,0,0
475,come up roses,"The end result is successful or positive, even if there were difficult times.",80,0,20
476,turn up trumps,To have achieved unexpectedly good results.,100,0,0
477,cook someone's goose,To spoil that person's chances of success.,0,100,0
478,on course for,"If you are on course for something, you are likely to achieve it.",80,0,20
479,crest of the wave,To be very successful in what you are doing.,100,0,0
480,cut someone's losses,"If you end or withdraw from something that is already failing, in order to reduce the loss of money, time or effort invested in it, you cut your losses.",20,40,40
481,cut someone's own throat,To do something that will be the cause of your own failure or ruin your chances in the future.,0,100,0
482,dead cert,Something that is certain to happen or be achieved.,60,0,40
483,dead duck,A project or scheme which has been abandoned or is certain to fail.,0,100,0
484,dead in the water,A plan at a standstill or has ceased to function and is unlikely to be reactivated in the future.,0,80,20
485,dice are loaded,"If everything seems to work to your disadvantage, and you are not likely to succeed.",0,100,0
486,disaster written all over,"If something, such as a plan or idea, is thought to be heading for complete failure, or will cause a lot of trouble.",0,100,0
487,all downhill,"If something is all downhill or downhill all the way, it is very easy to achieve considering the difficulties encountered beforehand.",60,20,20
488,draw a blank,"If you look for or try to remember something, and draw a blank, you fail to find it.",0,80,20
489,every dog has its day,Where everyone can be successful at something at some time in their life.,80,0,20
490,fall at first hurdle,To fail to overcome the first difficulty encountered.,0,100,0
491,fall flat,"Fails to amuse people, or fails to have the effect that was intended.",0,100,0
492,fall from grace,"To have done something wrong, immoral or unacceptable, and as a result  have lost their good reputation.",0,100,0
493,fall on someone's sword,To accept the consequences of an unsuccessful or wrong action.,20,60,20
494,feather in someone's cap,Proud of something.,100,0,0
495,fight a losing battle,Trying to do something even when there is little chance of succeeding.,20,80,0
496,reach first base,To make progress or begin to have success with someone or something.,100,0,0
497,flash in the pan,Something that it is not likely to be repeated.,0,20,80
498,will never fly,To be unsuccessful.,0,100,0
499,with flying colours,To do something very successfully.,100,0,0
500,flying start,Something immediately becomes successful.,100,0,0
501,fool's errand,"To try to do something which is useless, unnecessary or has no chance of success.",0,100,0
502,foot in the door,When someone has a small but successful start in something and will possibly do well in the future.,100,0,0
503,get a foothold,"To secure a position for yourself in a business, profession or organisation.",100,0,0
504,front runner,"In a contest, race or election, the front runner is the person who is most likely to succeed or win.",80,0,20
505,get the better of someone,If someone or something gets the better of you.,0,100,0
506,go to the dogs,"To say that a company, organization or country is going to the dogs means that it is becoming less successful or efficient than before.",0,100,0
507,go great guns,To be successful or doing very well.,100,0,0
508,go off with a bang,To be very successful.,100,0,0
509,go up in smoke,A plan which fails or ends before producing a result.,0,100,0
510,got it made,Someone who has got it made is so happy and successful in life that they have no worries.,100,0,0
511,hit pay dirt,"If you hit pay dirt, you are lucky and suddenly find yourself in a successful money-making situation.",100,0,0
512,on its knees,"When something such as a country or organization is on its knees, or brought to its knees, it is in a very weak situation or on the verge of failure.",0,100,0
513,landslide victory,The victory of a candidate or a political party by an overwhelming majority is called a landslide victory.,100,0,0
514,lead to a dead end,"If a plan or project leads to a dead end, it develops no further because it has no future.",0,80,20
515,leaps and bounds,To make rapid or spectacular progress or growth.,100,0,0
516,let slip through fingers,To fail to obtain something or keep it.,0,100,0
517,live to fight another day,"Even though you have not been successful, you will have another chance in the future to try again.",100,0,0
518,come a long way,To have made a lot of progress or have become successful.,100,0,0
519,at a low ebb,A person or organization at a low ebb is not as strong or successful as usual.,0,100,0
520,make a comeback,To succeed in returning to their former successful career.,100,0,0
521,make the cut,To reach a required standard or succeed in passing from one round of a competition to another.,80,0,20
522,make a go of,To succeed in your enterprise or produce good results.,100,0,0
523,make headway,To make progress in what you are trying to achieve.,100,0,0
524,make inroads,To advance successfully or make progress.,100,0,0
525,make a killing,To have had great financial success.,100,0,0
526,make or break,Circumstances or events that will make or break someone or something will cause either total success or total ruin.,0,20,80
527,make a pig's ear of,To do a task or a chore very badly or make a complete mess of it.,0,100,0
528,miss the boat,To fail to take advantage of an opportunity because you don't act quickly enough.,0,100,0
529,moment of truth,"A critical or decisive time when you face the reality of a situation, and find out if your efforts have succeeded.",0,40,60
530,move up in the world,To become more important in society or successful in their career.,100,0,0
531,murphy's law,"To express a sentiment of bad luck and the idea that if anything can go wrong, it will.",0,100,0
532,not getting anywhere,To make no progress at all.,0,80,20
533,nothing succeeds like success,The success often leads to further successes.,80,0,20
534,"nothing ventured, nothing gained",You cannot expect to achieve anything if you risk nothing.,20,0,80
535,out of the picture,When people have been eliminated in a contest or tournament.,0,40,60
536,ahead of the pack,When someone is better or more successful than their rivals.,100,0,0
537,pack it in,To abandon it or give it up.,0,100,0
538,pass muster,To be satisfactory or acceptable.,80,0,20
539,on the pig's back,A successful situation and everything is going well for that person.,100,0,0
540,place in the sun,"To reach a position which provides you with success, wealth and/or happiness, or whatever you have been hoping to obtain in life.",100,0,0
541,put the kibosh on,If you do something to prevent a plan or activity from happening or being successful.,0,100,0
542,pyrrhic victory,"A victory that is obtained at a tremendous cost, or causes such a great loss that it is not worth winning.",0,80,20
543,rags to riches,When someone starts off being very poor and become very rich and successful.,100,0,0
544,riding high,Someone who is enjoying a period of success or popularity.,100,0,0
545,rise to the occasion,To manage to do something successfully in difficult circumstances.,100,0,0
546,run rings around,To show much more skill or ability than your opponent.,20,20,60
547,sail through,To succeed in doing it without difficulty.,100,0,0
548,save the day,"If you find a solution to a serious problem, and ensure the success of something that was expected to fail.",100,0,0
549,sink or swim,"Having to do something alone, and their success or failure depends entirely on their own efforts.",0,0,100
550,sky's the limit,There is no limit to the possibility of success or progress for someone or something.,100,0,0
551,smash hit,"A very successful performance in music, films, theatre, etc.",100,0,0
552,snatch victory from the jaws of defeat,"If you manage to win something such as a match or a contest, when you are on the verge of losing.",100,0,0
553,spread oneself too thin,Doing too many things at the same time and can't do any of them well.,0,100,0
554,throw a spanner in the works,To do something that causes problems and prevents the success of a plan or event.,0,100,0
555,throw in the towel,To admit that you cannot succeed.,0,100,0
556,top dog,When someone is more successful or more powerful than others.,100,0,0
557,on the up and up,To become increasingly successful.,100,0,0
558,weather the storm,To succeed in surviving a difficult period or situation.,100,0,0
559,win-win,A situation or proposition where both or all parties benefit from the outcome.,100,0,0
560,wither on the vine,Failing or ceases to exist because people do not support or encourage it.,0,100,0
561,wooden spoon,The person who finishes last in a race or competition receives an imaginary prize.,0,60,40
562,have the world at someone's feet,To be extremely successful and greatly admired.,100,0,0
563,have the world by its tail,To be very successful and has many opportunities to choose from.,100,0,0
564,bolt from the blue,When something happened totally unexpectedly and was a complete surprise.,0,0,100
565,out of the blue,When something happened unexpectedly and causes a surprise.,0,0,100
566,caught unaware,To be surprised and unprepared for what happens.,0,40,60
567,do a double take,To look again in surprise at something unexpected.,0,20,80
568,drop a bombshell,To make an unexpected announcement which will greatly change a situation.,0,0,100
569,eyes on stalks,When your eyes are wide open with surprise or amazement.,0,0,100
570,jaw drop,To show total amazement.,20,0,80
571,jump out of someone's skin,To be extremely surprised or shocked.,0,60,40
572,knock someone's socks off,"If something amazes you, or impresses you greatly.",100,0,0
573,knock down with feather,To emphasize the fact that you were extremely surprised.,0,20,80
574,lo and behold,"To express surprise, especially at a sudden or unexpected appearance.",0,0,100
575,nine-day wonder,"An event which is a nine-day wonder causes interest, surprise or excitement for a short time, but it doesn't last.",20,20,60
576,raise eyebrows,To show surprise or disapproval  by the expression on their face.,0,60,40
577,rooted to the spot,"If you are so shocked, surprised or scared, your reaction is so strong that you are unable to move.",0,40,60
578,seeing is believing,"When you see something that seems incredible you can be sure it exists, or that what you have been told is really true.",20,0,80
579,stop dead in someone's tracks,To stop suddenly because you are totally surprised or frightened.,0,60,40
580,struck dumb,"To be unable to speak because you're are so surprised, shocked or frightened by something.",0,20,80
581,taken unaware,To be suprised because you were not expecting it.,0,40,60
582,there's no accounting for taste,To indicate surprise at another person's likes or dislikes.,0,80,20
583,wonders will never cease,To express pleasure or surprise at something.,80,0,20
584,words fail me,"When someone is so shocked, surprised or touched by something that they don't know what to say.",0,0,100
585,bandit territory,"A geographical area where law enforcement is practically impossible, because people ignore all rule.",0,80,20
586,beat black and blue,If a person is covered with bruise marks caused by being hit.,0,100,0
588,beat the living daylights,To hit someone very hard and repeatedly.,0,100,0
589,come to blows,To start to fight.,0,100,0
590,fight tooth and nail,To fight with energy and determination.,40,0,60
592,free-for-all,This term refers to an uncontrolled situation such as an argument or fight where everyone present can do what they like.,0,40,60
595,tit for tat,This expression refers to an injury or insult given in return for one received.,0,60,40
597,through the wars,"To show signs of rough treatment, injury or damage.",0,100,0
599,in the good books,To have someone's approval.,100,0,0
